,ONS LA Code,variable,value,year,quarter,PCP
290,W06000020,2020 Q3,131.0,2020,Q3,0.0
291,S12000033,2020 Q3,639.0,2020,Q3,0.0
292,S12000005,2020 Q3,117.0,2020,Q3,0.0
293,S12000006,2020 Q3,327.0,2020,Q3,0.0
294,S12000042,2020 Q3,548.0,2020,Q3,0.0
295,S12000010,2020 Q3,481.0,2020,Q3,0.0
296,S12000011,2020 Q3,451.0,2020,Q3,0.0
297,S12000014,2020 Q3,409.0,2020,Q3,0.0
298,S12000047,2020 Q3,1093.0,2020,Q3,0.0
299,S12000017,2020 Q3,663.0,2020,Q3,0.0
300,S12000018,2020 Q3,157.0,2020,Q3,0.0
301,S12000019,2020 Q3,347.0,2020,Q3,0.0
302,S12000044,2020 Q3,522.0,2020,Q3,0.0
303,S12000023,2020 Q3,281.0,2020,Q3,0.0
304,S12000048,2020 Q3,666.0,2020,Q3,0.0
305,S12000027,2020 Q3,62.0,2020,Q3,0.0
306,S12000029,2020 Q3,817.0,2020,Q3,0.0
307,S12000030,2020 Q3,1904.0,2020,Q3,0.0
308,S12000040,2020 Q3,500.0,2020,Q3,0.0
309,N09000011,2020 Q3,328.0,2020,Q3,0.0
310,N09000002,2020 Q3,366.0,2020,Q3,0.0
311,N09000005,2020 Q3,153.0,2020,Q3,0.0
312,N09000006,2020 Q3,113.0,2020,Q3,0.0
313,N09000007,2020 Q3,371.0,2020,Q3,0.0
314,N09000008,2020 Q3,200.0,2020,Q3,0.0
315,,2020 Q3,,2020,Q3,0.0
316,,2020 Q3,,2020,Q3,0.0
317,,2020 Q3,,2020,Q3,0.0
318,,2020 Q3,,2020,Q3,0.0
319,,2020 Q3,,2020,Q3,0.0
320,K02000001,2020 Q2,317266.0,2020,Q2,0.0
321,K03000001,2020 Q2,313552.0,2020,Q2,0.0
322,E92000001,2020 Q2,283588.0,2020,Q2,0.0
323,E12000001,2020 Q2,4793.0,2020,Q2,0.0
324,E06000047,2020 Q2,962.0,2020,Q2,0.0
325,E06000005,2020 Q2,255.0,2020,Q2,0.0
326,E06000001,2020 Q2,112.0,2020,Q2,0.0
327,E06000002,2020 Q2,93.0,2020,Q2,0.0
328,E06000057,2020 Q2,955.0,2020,Q2,0.0
329,E06000003,2020 Q2,136.0,2020,Q2,0.0
330,E06000004,2020 Q2,280.0,2020,Q2,0.0
331,E11000007,2020 Q2,1993.0,2020,Q2,0.0
332,E08000037,2020 Q2,367.0,2020,Q2,0.0
333,E08000021,2020 Q2,543.0,2020,Q2,0.0
334,E08000022,2020 Q2,356.0,2020,Q2,0.0
335,E08000023,2020 Q2,292.0,2020,Q2,0.0
